target_focal_fraction	helper_fraction	moi	complementation_probability	minimum_replication_gain_for_equilibrium
0.625	0.375	0.5	0.17097088181959963	5.848949185716622
0.625	0.375	1	0.31271072120902776	3.1978436688506178
0.625	0.375	2	0.5276334472589853	1.8952551344023434
0.625	0.375	3	0.6753475326416503	1.4807191137405329
0.625	0.375	5	0.8466450331550716	1.1811325417848875
0.625	0.375	10	0.9764822541439909	1.024084150793529
0.7391304347826086	0.26086956521739135	0.5	0.12228626671781773	8.177533151024676
0.7391304347826086	0.26086956521739135	1	0.22961860240785414	4.355047846793248
0.7391304347826086	0.26086956521739135	2	0.4065125022439722	2.4599489424801035
0.7391304347826086	0.26086956521739135	3	0.5427882720252457	1.8423389957723495
0.7391304347826086	0.26086956521739135	5	0.7286505556195535	1.3723999690767061
0.7391304347826086	0.26086956521739135	10	0.9263694790344229	1.0794828873705165
