outcome_id	outcome_label	model_id	positive_beta_interpretation	analysis_role	n	rank	residual_df	condition_number	beta	classical_se	classical_t	classical_p	hc3_se	hc3_t	hc3_p	r_squared	superpopulation_fe_beta	superpopulation_fe_hc3_se	superpopulation_fe_hc3_p	permutation_method	permutation_resamples	permutation_seed	permutation_p	permutation_mc_se	hc3_bh_all_adjusted_state_models	permutation_bh_all_adjusted_state_models
Obin_media	Obinutuzumab + media	internal_vs_pooled_noninternal	greater viability/resistance to antibody-mediated killing	same_cohort_observational_followup_not_independent_replication	45	9	36	12.916348221878067	0.02999030116360299	0.032019318123283035	0.9366314750405433	0.3551894005800371	0.044327462419739276	0.6765625534713247	0.503007672966275	0.3394055501377947	0.03841055442111863	0.033538709417376175	0.25908086325399626	Freedman-Lane residual permutation within 1000 Genomes population; classical studentized contrast	20000	2493530897	0.3399330033498325	0.0033493830642111126	0.6287595912078437	0.5009082879189374
Obin_media	Obinutuzumab + media	any_retained_element_vs_true_absence	greater viability/resistance to antibody-mediated killing	same_cohort_observational_followup_not_independent_replication	45	9	36	14.073589455119892	0.013337678552745445	0.04651902422426881	0.2867144953093669	0.7759746618111837	0.034287027232268806	0.3890007279544158	0.6995670589987455	0.3248493161629217	0.031683777097558936	0.03376296213498339	0.3538052613910021	Freedman-Lane residual permutation within 1000 Genomes population; classical studentized contrast	20000	3354126308	0.7067646617669117	0.0032189906239672196	0.7562887124310762	0.7640699046128775
Obin_media	Obinutuzumab + media	provirus_vs_true_absence_excluding_retained_noninternal	greater viability/resistance to antibody-mediated killing	same_cohort_observational_followup_not_independent_replication	35	7	28	10.420936553236102	0.0290012844930172	0.04177577879587847	0.6942128986923499	0.49326884722209197	0.03364334297860036	0.8620214855421516	0.3959985782805937	0.188760367953149	0.04497495645880367	0.03300103845873793	0.1830776808818155	Freedman-Lane residual permutation within 1000 Genomes population; classical studentized contrast	20000	1761748563	0.41462926853657317	0.0034835305598217327	0.6287595912078437	0.5350055077891267
Obin_media	Obinutuzumab + media	internal_haplotype_dose_linear	greater viability/resistance to antibody-mediated killing	same_cohort_observational_followup_not_independent_replication	45	9	36	13.32355101381135	0.025419313045686585	0.025595550698499926	0.9931145199847695	0.32728276218236696	0.03630856987870119	0.7000912768144497	0.48837017883041733	0.34135231078424444	0.03543137281329643	0.029289435724688652	0.23367662793740335	Freedman-Lane residual permutation within 1000 Genomes population; classical studentized contrast	20000	1538797155	0.36273186340682967	0.0033996021927658656	0.6287595912078437	0.5009082879189374
Obin_media	Obinutuzumab + media	pro_orf_positive_vs_known_negative	greater viability/resistance to antibody-mediated killing	same_cohort_observational_followup_not_independent_replication	30	7	23	11.44385343630771	0.03794480284806584	0.05219491694226818	0.7269827230501368	0.47457163048283635	0.04885201772719094	0.7767294906827531	0.44523368114296613	0.15291791136252142	0.052772058136995384	0.05285172781419765	0.32760760434219105	Freedman-Lane residual permutation within 1000 Genomes population; classical studentized contrast	20000	4246363382	0.4538773061346933	0.0035203714583506842	0.6287595912078437	0.5673466326683666
Obin_media	Obinutuzumab + media	structural_internal_vs_retained_noninternal	greater viability/resistance to antibody-mediated killing	same_cohort_observational_followup_not_independent_replication	45	10	35	14.570428732860236	0.03617210001293007	0.039188161954069975	0.92303640204726	0.3623080662069742	0.0652911139907426	0.5540126029716508	0.5830928548422416	0.34089377331172266	0.0382541864169728	0.04578533961494815	0.4086524458263515	Freedman-Lane residual permutation within 1000 Genomes population; classical studentized contrast	20000	1166670310	0.3670316484175791	0.003408135869411234	0.6859915939320489	0.5009082879189374
Obin_media	Obinutuzumab + media	structural_internal_vs_true_absence	greater viability/resistance to antibody-mediated killing	same_cohort_observational_followup_not_independent_replication	45	10	35	14.570428732860236	0.02034027932725286	0.04722825249026155	0.43068032914084675	0.6693415599199362	0.03648010904307409	0.5575717798221481	0.5806857438887211	0.34089377331172266	0.03868149412505632	0.03532478400350768	0.2803982245803363	Freedman-Lane residual permutation within 1000 Genomes population; classical studentized contrast	20000	2398366273	0.5792710364481776	0.0034907299923121558	0.6859915939320489	0.681495336997856
Obin_media	Obinutuzumab + media	structural_retained_noninternal_vs_true_absence	greater viability/resistance to antibody-mediated killing	same_cohort_observational_followup_not_independent_replication	45	10	35	14.570428732860236	-0.015831820685677213	0.05631713019670114	-0.2811190952092332	0.780274339500939	0.06251002967701304	-0.25326848775275956	0.8015425219087691	0.34089377331172266	0.00042730770808352414	0.049779944591304116	0.993196004231574	Freedman-Lane residual permutation within 1000 Genomes population; classical studentized contrast	20000	1535511267	0.7488125593720314	0.0030666178939789	0.8315954236309103	0.7876016455587477
Obin_serum	Obinutuzumab + serum/complement	internal_vs_pooled_noninternal	greater viability/resistance to antibody-mediated killing	same_cohort_observational_followup_not_independent_replication	49	9	40	13.31456570901726	0.16974835962336116	0.050880851448010515	3.3361933771255408	0.001842318144495473	0.04845065549179736	3.5035307138847553	0.0011460534200536348	0.44206289060139536	0.14405104440650898	0.046298028109516796	0.0033032373619749913	Freedman-Lane residual permutation within 1000 Genomes population; classical studentized contrast	20000	1970764744	0.0025498725063746812	0.0003565980576504305	0.015280712267381799	0.02039898005099745
Obin_serum	Obinutuzumab + serum/complement	any_retained_element_vs_true_absence	greater viability/resistance to antibody-mediated killing	same_cohort_observational_followup_not_independent_replication	49	9	40	14.521176966112744	0.1529287662543319	0.0823377037863828	1.8573358160568916	0.07063677240345258	0.09562377807939695	1.599275507890457	0.11762953312200006	0.34343779758397397	0.16177782775134902	0.09451574866530744	0.09416624211658314	Freedman-Lane residual permutation within 1000 Genomes population; classical studentized contrast	20000	20384280	0.10679466026698665	0.002183858873254717	0.31367875499200015	0.25128155356938037
