observation	ascertainment_scenario	dirichlet_alpha_per_lesion	source_opportunity_cv	posterior_source_ratio_q025	posterior_source_ratio_q25	posterior_source_ratio_median	posterior_source_ratio_q75	posterior_source_ratio_q975	interpretation
orthology_aware_floor	narrow	0.1	3.162277660168379	3.1441319841691597	6.324213474196507	9.187598648157403	13.442658577109288	28.571153411021438	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
orthology_aware_floor	narrow	0.25	2.0	2.8549770730334028	5.587624862639493	7.98238610348721	11.473932449012846	23.46209279531795	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
orthology_aware_floor	narrow	0.5	1.414213562373095	2.50619802972791	4.732348594428665	6.610014314173141	9.267285567086969	17.973223552496034	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
orthology_aware_floor	narrow	1.0	1.0	2.07397080624643	3.7250831408164515	5.040962504636032	6.820019956445463	12.260793033799384	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
orthology_aware_floor	narrow	2.0	0.7071067811865475	1.6420821752299095	2.771600950759272	3.6059884237718896	4.68957152756199	7.702927515298946	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
orthology_aware_floor	narrow	5.0	0.4472135954999579	1.2029583064073728	1.8487129512364011	2.2945059405399637	2.827107952784711	4.167494162668981	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
orthology_aware_floor	narrow	20.0	0.22360679774997896	0.9047646495830308	1.1965444676343981	1.3757755030086418	1.5770628917738885	1.995549315633925	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
orthology_aware_floor	broad	0.1	3.162277660168379	1.5719022787682468	3.9987715702372317	7.4880295023982635	14.970963908964588	46.99058974905037	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
orthology_aware_floor	broad	0.25	2.0	1.4047521587910188	3.207351365714257	5.3862620434945185	9.808720477549738	31.333132243206123	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
orthology_aware_floor	broad	0.5	1.414213562373095	1.2503176475148032	2.5979247710074445	3.9654080753584755	6.37437488408787	17.82455410367867	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
orthology_aware_floor	broad	1.0	1.0	1.0994200788690582	2.090210161910372	2.9593652435411197	4.2806948154665365	9.268738326086684	latent Delta292 source opportunity divided by the mean latent opportunity of the six age-matched rival lesions, conditional on no focal propagation effect
