file	bytes	sha256
.gitignore	2494	098606a6480cd384c4fde2b546cf11075cb9079501ecbbdc27d31e4629c7d19e
CHANGES.md	11783	028273b6b293233a7cecf032e483bb22244a13b6c067767bf2a08882676e4fde
CITATION.cff	788	b7822a2b783abc2b9c088fbe112d12431dc1eab181073bb83a4af46d33a6ebab
DATA_LICENSE.md	499	a177a3d40462b156fc978d4ef9441cede9c56667398f323323e455c1e4c6f6a1
DATA_REQUIREMENTS.md	2235	2ea1671a270124f559591a545768ea75b0f1f53122ebccf1e556030d279096bd
DATA_SOURCES.md	1676	c777ba1d053ee90cdddf83383d29b98805e48f6ffd2780e9f19896f4d059dd1b
FIGURE_TABLE_MAP.md	17633	c7f0020dc2263e0ccf66dd6264ea01ebd16e37db0708434ef0c51252070502a5
Figures/Figure_2.pdf	379228	664eb8cec22825b908fc3b8b6056f719fc8e70a7fa21d3ffee109c1ee7b82c9a
Figures/Figure_2.png	361261	768838f98d74bfe8830b4b6be4168a86ba2762f0da24984a398214c94db9978e
Figures/Figure_3.pdf	846166	0616a9a99b8b2606ec73e77365eb60a20f9b01b47425bea5ee8bedcdd6070830
Figures/Figure_3.png	841909	f093e73485498679b741c47ede1d7ef19a06bd00625c1bfd05787ee2ec35f55d
Figures/Figure_4.pdf	490919	fc063e7cbe4a9f948492903d6d16f9f4cc11a663a5f39d370e7255ffa63baa4b
Figures/Figure_4.png	453859	62d27d35232e43bcc5a9d35f34e18fb26fcfeffe31508b6ba7abbbc0ca766364
Figures/Figure_5.pdf	47569	223a39e093b629d10a081babf3a02220968769621e6607aaad25d8b0f867b653
Figures/Figure_5.png	309033	7a60af790f1fec29f7a4f93bfbe8efdc32f64be1aa2cb79b603d8080e8914930
Figures/Figure_6.pdf	27178	b67cbf58923d636258d75b0d85536672f07a6344d0bbc9a813732428bbebcc9e
Figures/Figure_6.png	229368	4bdcd6feb6b8012a6ee25182feab6c2f3cc6b8fb0643df2f702be7b704069586
Figures/Figure_7.pdf	85235	8ed459f08af8a3ccccf05367775ff2b9b4d789842b3302436a07230cbffa73ac
Figures/Figure_7.png	262828	0c78de1bcfff15d6df2e400f42551f892deb8dcb991ac106f6bb4b8e5214f5bd
HML2_ProjectResources/cluster_pipeline_source/shared/calculate_padded_coords_pysam.py	5281	62690fc27786c03abc15f89827c50b2bad7d000aeaf5c60a48c0fcacfee38ddd
HML2_ProjectResources/cluster_pipeline_source/shared/combine_and_validate.py	96922	3ffc16a4cbbd61ef414db1bbfd81a6b5508f4d3c822f2503b8289887c4c993c7
HML2_ProjectResources/cluster_pipeline_source/shared/flank_anchor_coords.py	5593	8417643a77360c51fbc70e8a0274a60edc5ae793a57a5a59fed613a90b34fead
HML2_ProjectResources/cluster_pipeline_source/shared/flank_anchored_locate.py	14758	2040df11b278e7c27d44a5ab5954f5e45dd78c4ed311bbf7066a92db8f920e5d
HML2_ProjectResources/cluster_pipeline_source/shared/orf_analysis.py	143438	f89a11c2d44bd5212efad837883693b431a1c29c447ba229b5ea33f2e4762d3c
HML2_ProjectResources/cluster_pipeline_source/shared/test_short_orf_length_rule.py	2818	d7dd3bdec45f5d66334d19b3cbed2c7b769441772afa5afc3fbf487423415264
HML2_ProjectResources/data/ref/igsr_samples.tsv	701086	4fada515c9df221c29ffe5cdebbdca2457ef21a7594b4c6a55bb8dd2cec26535
HML2_ProjectResources/data/ref/type2_KCON.fa	9485	a1734229fd22e804267f3763c1d38b837bd12ce329d7b823252d9a3c6abdb7ec
LICENSE	1099	3e0fa4e8253411280bc93296f03498fc79faf60c332e4b1d4edad28bf60009b3
MODEL_NOTES.md	3567	9b63266b7887ff1d658f11c43684c5eb55246644df4a86fc92284bf7e2c697ac
README.md	9439	abd2083973a53469c22a6828e0a7074f9370b221d046fc7a3fea91c9179afddd
RELEASE_NOTES.md	1814	17c26e9b89cb6c83f4fd07632773b3caf35d72c27e68c8141d894599bf301a98
SUPPLEMENTARY_TABLE_NUMBERING.tsv	385	ab6e3185d177a0e4e72c4ac004b0435c41e77f908342b2fd451efe3938e300bf
Supplementary_Data/Catalog/HML11_comparator_records.tsv	596476	b51b53370ad486c4501ee2c7a8b6bba1a594ee1e6ab3a517d0b6a4f24163519d
Supplementary_Data/Catalog/rec_boundary_alignment_evidence.tsv	10696361	9a293bf81e3934c5f747f26da3e0095fca26658376f8844cd43b6428d1453278
Supplementary_Data/Catalog/rec_boundary_cell_changes.tsv	9419649	60bf2c438405d157052a80cbedcc198341da5474e046c5338801e127d95944df
Supplementary_Data/Catalog/rec_boundary_verification.json	1390	2e302b62312b162005bd833ddd27fba026f1170c5b7c1e647103426e8d7e6f7e
Supplementary_Data/Catalog/retained_alignment_version_differences.tsv	480733	46377a6145de8ba53e08330876080ead20c35cdf118eda4472b2f0d8287f9b95
Supplementary_Data/Catalog/short_orf_classification_changes.tsv	129312	1eec247ef50989691300a8c8f45e3b02a0c70d0ac9b90d0e96168d91d9cfc060
Supplementary_Data/Catalog/source_recovery_changes.tsv	464392	8efba4f37636c73bf23ef61b4534b22763c5d50e2105e18342a851cad2ddba34
Supplementary_Data/FIGURE_SOURCE_NUMBERING.tsv	273	cd987874b830824c24f362f2377b1cfdac5055b3c2355a19c01b28dde3778ff1
Supplementary_Data/Figure_1_sex_chromosome_eligibility.tsv	97401	3145f04903012a573ac4dbbb2fec2b5d044e492662ebc9d931e1cb341fb64622
