consumer	input	path	bytes	sha256	bundled
build_narrative_main_figures.py	CATALOG	project/results/rec_exon_boundary_correction_20260915/combined_hml2_orf_analysis.RESOLVED.REC_CORRECTED.tsv	184321182	456aa8f4b675eb16ce12368aae425bbafed7ed0ddd753189419509363198ba2a	data/combined_hml2_orf_analysis.RESOLVED.REC_CORRECTED.tsv.gz (extract with scripts/restore_corrected_catalog.py)
build_narrative_main_figures.py	SEVENP22	project/working/sevenp22_proxy_resolution_agent/haplotype_copy_number_truth.tsv	18847	fd08383ed61f065f9571c08e37641f46a325e009032d76e5a6bb0fba4490b868	yes
build_narrative_main_figures.py	ONEP31	project/working/onep31b_array_recovery_agent/haplotype_array_reconciliation.tsv	1961	4d7bcbaa91a63514ce0cbb263f7ff6c9d054211663004127ce23a1dafe4c6637	no
build_narrative_main_figures.py	IGSR_SAMPLES	HML2_ProjectResources/data/ref/igsr_samples.tsv	701086	4fada515c9df221c29ffe5cdebbdca2457ef21a7594b4c6a55bb8dd2cec26535	yes
build_narrative_main_figures.py	SUBFAMILY_AUTHORITY	project/working/type1_ltr_authority_resolution_agent/subfamily_authority.tsv	29009	a99f036db874c38685e7adc9a829f20f38e9b3d1e3f0c0701837119f9272f3f6	yes
build_narrative_main_figures.py	TYPE1_HYPOTHESES	project/working/type1_selection_hypotheses_v1/results/locus_inputs.tsv	14560	70aa0c89ce1294f90bec04d2a92ca5fb87e056f5014cac65aaa93408a444eeb8	no
build_narrative_main_figures.py	SLC_INPUTS	project/working/hml2_functional_evidence_synthesis_claude_v2/results/synthesis_slc44a5_inputs.tsv	5865	f8f4917351b21cf2cde795f3cd45d52c73d39e999425045a21f986a7bff46254	yes
build_narrative_main_figures.py	GROWTH_GROUPS	project/working/direct_ebv_fitness_screen_v1/results/Im2012_intrinsic_growth/growth_6q14_group_summary.tsv	376	e434f5cb5db453e6c48b16f898325c246dec268ca396242ef2dbb344e626a296	no
build_narrative_main_figures.py	TWELVE_MODELS	project/working/twelveq13_2_anti_cd20_followup_v1/state_robustness/results/adjusted_state_models.tsv	25919	c415c0f4c20ccd2f74779eb2642b6309a26f6d5c0cf9ecccc8e85a9c9d42b4ab	yes
build_narrative_main_figures.py	TWELVE	project/working/claude_safe_positive_lead_followup_v1/results/twelveq13_complement_causal_discrimination.tsv	21629	a01a7a82181949edf053d745daf0db541e09f26498a3b3220303c40a686bfec6	no
build_narrative_main_figures.py	SIXQ_LOO	project/working/direct_ebv_fitness_screen_v1/results/Im2012_intrinsic_growth/growth_6q14_leave_one_person_out.tsv	3326	0af3a501dd1426c267fde37e8e489d9030a8ae70eba7913635c036e5d318d852	no
build_artifact_filtered_functional_refit.py	CATALOG	project/results/rec_exon_boundary_correction_20260915/combined_hml2_orf_analysis.RESOLVED.REC_CORRECTED.tsv	184321182	456aa8f4b675eb16ce12368aae425bbafed7ed0ddd753189419509363198ba2a	data/combined_hml2_orf_analysis.RESOLVED.REC_CORRECTED.tsv.gz (extract with scripts/restore_corrected_catalog.py)
build_artifact_filtered_functional_refit.py	OLD_MATRIX	project/working/direct_ebv_fitness_screen_v1/results/person_level_direct_matrix.tsv	132801	24758c5b0b11686967f1fa305ea8ed9c4c6e1b246f0ae25a5e675d9314a6c343	no
build_artifact_filtered_functional_refit.py	OLD_MANDAGE_MODELS	project/working/direct_ebv_fitness_screen_v1/results/model_results.tsv	31582	9405e9c5eb0cd9ef9dfcf19d53cce89a8f1f33b2963c31da46408091f572dc13	no
build_artifact_filtered_functional_refit.py	OLD_SECONDARY_MODELS	project/working/direct_ebv_fitness_screen_v1/results/secondary_outcome_model_results.tsv	57835	e49fcd1e9faa4fe26fbfab83f6b6922ca87c8435be127acc7faa028b6a946314	no
build_artifact_filtered_functional_refit.py	HOLD	project/working/data_search_direct_cellular_phenotypes_v1/derived/Houldcroft2014_EBV_qPCR_unique_direct292_join.tsv	1693	18e3efa04a519a5d567ba7d5b7190c5596d5c4420bd947eebe2074e6ee572f57	no
build_artifact_filtered_functional_refit.py	IM	project/working/data_search_direct_cellular_phenotypes_v1/derived/Im2012_LCL_intrinsic_growth_direct292_join.tsv	990	b3a4677443f8559acb7bcccfda3d5f01f176ade892d961eec7edc11a86d15174	no
build_artifact_filtered_functional_refit.py	EXCLUSIONS	project/manuscript/supplement/Table_S_CNV_excluded_ORF_records.tsv	6128	355850e45828f98f70f78a0aac3cae23f35c8263cb1b22700d774f640675a9f3	yes
build_artifact_filtered_functional_refit.py	SEVENP22	project/working/sevenp22_proxy_resolution_agent/haplotype_copy_number_truth.tsv	18847	fd08383ed61f065f9571c08e37641f46a325e009032d76e5a6bb0fba4490b868	yes
build_artifact_filtered_functional_refit.py	ONEQ22	project/manuscript/supplement/Table_S9_1q22_Gag_artifact_corrected_truth.tsv	20529	ae19a64dbdad410b904a433064138e731efd9049cdeaa542b78f0d74d7a261ac	yes
build_tsd_analysis.py	NEW_TABLE	project/inputs/orf_analysis/tsd_refresh_20260803/combined_hml2_orf_analysis.tsv	110285455	46233990bc58f8012f4cc6dfbdf175c88898126769bc9f907b82ad71b608a074	no
build_tsd_analysis.py	PRIOR_TABLE	project/inputs/orf_analysis/current_v3r1/combined_hml2_orf_analysis.CNV_WEIGHTED.v3r1.tsv	175939370	1a3f0462b541fa14c5e1f882137d323b3e5418daa88813dc9bcbc9205d43259d	no
build_tsd_analysis.py	ANNOTATION_TABLE	project/results/biological_orf_annotation_20260802/combined_hml2_orf_analysis.CNV_WEIGHTED.BIOLOGICALLY_ANNOTATED.v3.tsv	184636411	c760b8a5d84fe666377a076dd462110917f6812b935878ac77697b0a605aac5a	no
build_tsd_analysis.py	DIRECT_EVIDENCE	project/inputs/orf_analysis/tsd_refresh_20260803/review/candidate_tsd_direct_evidence_join.tsv	8987153	db597d65905bc78f3e20ee9473893b74275ee18615d4353adbbe6c1874e8a9e6	no
build_tsd_analysis.py	SAMPLE_METADATA	project/inputs/sampling_frame/human_sample_frame.tsv	52059	bf76a069efbd12ceb674dec6d27ec863a0154b9c1a512ea1e4a2732b3d66385a	no
build_cnv_artifact_filter.py	SOURCE_ORF	project/inputs/orf_analysis/current_v3r1/combined_hml2_orf_analysis.CNV_WEIGHTED.v3r1.tsv	175939370	1a3f0462b541fa14c5e1f882137d323b3e5418daa88813dc9bcbc9205d43259d	no
build_cnv_artifact_filter.py	WEIGHTS	project/working/cnv_depth_weight_finalization_v1/results_44/final_assayed_candidate_weights.v1.tsv	20624	3451d19f0184d5a602b2cf8b0abf159b11240eedbcd84f813d1136a6d108ad23	no
build_cnv_artifact_filter.py	RECEIPT	project/working/cnv_recovery_status/final_v8_results/LANE_G_CNV_V8_CONSUMER_RELEASE_RECEIPT.v1.json	34767	7b1cbe10155807899362a3fbb273a739bb29a773c87f53a289a388d5ccf5fcf6	no
build_cnv_artifact_filter.py	ASM_DUP_AUTHORITY	project/working/sevenp22_proxy_resolution_agent/haplotype_copy_number_truth.tsv	18847	fd08383ed61f065f9571c08e37641f46a325e009032d76e5a6bb0fba4490b868	no
